experiment,model,language,condition,n,ties,tie_rate,boundaries,boundary_rate
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap60__lnon,1000,20,0.02,70,0.07
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap80__lnon,1000,23,0.023,72,0.072
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap60__lnon,1000,22,0.022,68,0.068
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap80__lnon,1000,17,0.017,81,0.081
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap60__lnon,1000,27,0.027,67,0.067
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,1000,24,0.024,63,0.063
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap60__lnon,1000,21,0.021,62,0.062
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap80__lnon,1000,28,0.028,88,0.088
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,1000,35,0.035,73,0.073
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_1,1000,44,0.044,82,0.082
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_2,1000,39,0.039,120,0.12
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_4,1000,18,0.018,77,0.077
perturbation,OpenGVLab/InternVL3-8B,cuda,no_blank_lines,1000,46,0.046,92,0.092
perturbation,OpenGVLab/InternVL3-8B,cuda,no_indent,1000,28,0.028,89,0.089
perturbation,OpenGVLab/InternVL3-8B,java,baseline,1000,23,0.023,83,0.083
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_1,1000,18,0.018,104,0.104
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_2,1000,32,0.032,115,0.115
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_4,1000,29,0.029,83,0.083
perturbation,OpenGVLab/InternVL3-8B,java,no_blank_lines,1000,34,0.034,98,0.098
perturbation,OpenGVLab/InternVL3-8B,java,no_indent,1000,21,0.021,82,0.082
perturbation,OpenGVLab/InternVL3-8B,python,baseline,1000,35,0.035,68,0.068
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_1,1000,26,0.026,100,0.1
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_2,1000,34,0.034,117,0.117
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_4,1000,16,0.016,90,0.09
perturbation,OpenGVLab/InternVL3-8B,python,no_blank_lines,1000,29,0.029,98,0.098
perturbation,OpenGVLab/InternVL3-8B,python,no_indent,1000,22,0.022,82,0.082
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,1000,25,0.025,84,0.084
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_1,1000,24,0.024,65,0.065
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_2,1000,25,0.025,67,0.067
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_4,1000,54,0.054,116,0.116
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_blank_lines,1000,27,0.027,65,0.065
