model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c,baseline_valid_rate,baseline_valid_accuracy,baseline_effective_accuracy,baseline_swap_error,experiment,effective_delta,coverage_component,valid_accuracy_component,decomposition_residual,swap_error_delta,dominant_component
OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,1000,384,169,0.384,0.4401041666666667,0.169,0.616,0.0,0.1470496254858135,0.193483688631624,0.3912909684289499,0.4901038671312509,-0.1131548701869843,0.0266046165063174,0.493,0.025,1.0625,0.75,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.04199999999999998,-0.03370459518599563,-0.008295404814004379,2.949029909160572e-17,0.07300000000000006,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,1000,377,162,0.377,0.4297082228116711,0.162,0.623,0.0,0.1404641118483431,0.1861227768878922,0.380694445458084,0.4801400336342955,-0.165164329664368,0.0012891108730888,0.492,0.018,1.0625,0.75,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.04899999999999999,-0.03693654266958425,-0.012063457330415762,2.6020852139652106e-17,0.08000000000000007,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,1000,453,229,0.453,0.5055187637969095,0.229,0.5469999999999999,0.0,0.2040231297505251,0.2560509733486457,0.4596255496704068,0.5513191662774565,0.013537909845185,0.7738403642671794,0.515,0.028,0.875,0.6875,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,0.018000000000000016,-0.001846827133479214,0.019846827133479215,1.3877787807814457e-17,0.0040000000000000036,valid-only_accuracy
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,1000,571,452,0.571,0.7915936952714536,0.452,0.429,0.0,0.421395594018334,0.4829717747962793,0.7563846955189538,0.8229054633418221,0.6493942102502602,1.0977101236749491e-69,0.686,0.018,0.625,0.75,0.627,0.7687400318979266,0.482,0.373,grid,-0.02999999999999997,-0.04304944178628393,0.013049441786283922,3.469446951953614e-17,0.055999999999999994,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,1000,571,442,0.571,0.7740805604203153,0.442,0.429,0.0,0.411499555136933,0.4729443488473914,0.7380142909153359,0.8064836662120599,0.6263544455409089,1.519658734864021e-63,0.685,0.021,0.625,0.6875,0.627,0.7687400318979266,0.482,0.373,grid,-0.03999999999999998,-0.04304944178628393,0.003049441786283915,3.252606517456513e-17,0.055999999999999994,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,1000,611,464,0.611,0.7594108019639935,0.464,0.389,0.0,0.4332873318478838,0.4949881947630761,0.7239646990692986,0.7916153670635654,0.5681046943492357,1.6519551263351144e-53,0.674,0.025,0.5625,0.75,0.627,0.7687400318979266,0.482,0.373,grid,-0.01799999999999996,-0.012299840510366837,-0.005700159489633153,2.949029909160572e-17,0.016000000000000014,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,1000,648,496,0.648,0.7654320987654321,0.496,0.352,0.0,0.465085893402929,0.5269447206649553,0.7313017019215118,0.7964339849468285,0.5856948544067407,6.210292404189324e-61,0.683,0.021,0.5,0.6875,0.627,0.7687400318979266,0.482,0.373,grid,0.014000000000000012,0.016143540669856474,-0.002143540669856472,1.0842021724855044e-17,-0.02100000000000002,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,1000,547,441,0.547,0.8062157221206582,0.441,0.4529999999999999,0.0,0.4105106415843448,0.4719409159169507,0.7710031921064029,0.8371572770006379,0.6507167601713405,3.554552524012031e-67,0.696,0.022,0.6875,0.75,0.627,0.7687400318979266,0.482,0.373,grid,-0.04099999999999998,-0.061499202551834095,0.020499202551834166,-5.204170427930421e-17,0.0799999999999999,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,1000,530,409,0.53,0.7716981132075472,0.409,0.47,0.0,0.378932424955699,0.4397640450886719,0.7340835970373673,0.8054024156005778,0.6186958315517345,2.648161275783429e-57,0.684,0.021,0.75,0.6875,0.627,0.7687400318979266,0.482,0.373,grid,-0.07300000000000001,-0.07456778309409887,0.0015677830940989223,-6.548581121812447e-17,0.09699999999999998,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,1000,564,443,0.564,0.7854609929078015,0.443,0.436,0.0,0.4124885944581054,0.4739476560092479,0.7497109652454044,0.8173487219228008,0.621048786772027,1.8498773235646524e-61,0.68,0.022,0.6875,0.75,0.627,0.7687400318979266,0.482,0.373,grid,-0.03899999999999998,-0.04843062200956942,0.009430622009569418,2.42861286636753e-17,0.063,valid_coverage/consistency
