rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_056,cuda,gaussian_sigma_2,0.7627307250962975
dorn_cuda_056,cuda,gaussian_sigma_4,0.6695506969281664
dorn_cuda_057,cuda,gaussian_sigma_1,0.9271933358110626
dorn_cuda_057,cuda,gaussian_sigma_2,0.8085357611743121
dorn_cuda_057,cuda,gaussian_sigma_4,0.7376084410983185
dorn_cuda_058,cuda,gaussian_sigma_1,0.8807640336196864
dorn_cuda_058,cuda,gaussian_sigma_2,0.6912722224712846
dorn_cuda_058,cuda,gaussian_sigma_4,0.5747105154272059
dorn_cuda_059,cuda,gaussian_sigma_1,0.9270329226046309
dorn_cuda_059,cuda,gaussian_sigma_2,0.8122358655479087
dorn_cuda_059,cuda,gaussian_sigma_4,0.7396048337305424
dorn_cuda_060,cuda,gaussian_sigma_1,0.9305292664713137
dorn_cuda_060,cuda,gaussian_sigma_2,0.8164432937250131
dorn_cuda_060,cuda,gaussian_sigma_4,0.7473176237853337
dorn_cuda_061,cuda,gaussian_sigma_1,0.9243991921646315
dorn_cuda_061,cuda,gaussian_sigma_2,0.8014083343610195
dorn_cuda_061,cuda,gaussian_sigma_4,0.7219312402419931
dorn_cuda_062,cuda,gaussian_sigma_1,0.9828581645283928
dorn_cuda_062,cuda,gaussian_sigma_2,0.9556070980209368
dorn_cuda_062,cuda,gaussian_sigma_4,0.9370469270955993
dorn_cuda_063,cuda,gaussian_sigma_1,0.9233831095729471
dorn_cuda_063,cuda,gaussian_sigma_2,0.8004195538572462
dorn_cuda_063,cuda,gaussian_sigma_4,0.721078873884092
dorn_cuda_064,cuda,gaussian_sigma_1,0.8921036523734595
dorn_cuda_064,cuda,gaussian_sigma_2,0.7172792496194319
dorn_cuda_064,cuda,gaussian_sigma_4,0.6101989069221472
dorn_cuda_065,cuda,gaussian_sigma_1,0.9540686097724692
dorn_cuda_065,cuda,gaussian_sigma_2,0.8809287360668173
dorn_cuda_065,cuda,gaussian_sigma_4,0.831084348509273
dorn_cuda_066,cuda,gaussian_sigma_1,0.9624086595768883
dorn_cuda_066,cuda,gaussian_sigma_2,0.9048301583822228
dorn_cuda_066,cuda,gaussian_sigma_4,0.8660785733405413
dorn_cuda_067,cuda,gaussian_sigma_1,0.8755421280600014
dorn_cuda_067,cuda,gaussian_sigma_2,0.6737677117299513
dorn_cuda_067,cuda,gaussian_sigma_4,0.5471977670594526
dorn_cuda_068,cuda,gaussian_sigma_1,0.9037375268539515
dorn_cuda_068,cuda,gaussian_sigma_2,0.7497780655603165
dorn_cuda_068,cuda,gaussian_sigma_4,0.652514872602176
dorn_cuda_069,cuda,gaussian_sigma_1,0.904173982849443
dorn_cuda_069,cuda,gaussian_sigma_2,0.7425888558394349
dorn_cuda_069,cuda,gaussian_sigma_4,0.6463632866843967
dorn_cuda_070,cuda,gaussian_sigma_1,0.9442636818832563
dorn_cuda_070,cuda,gaussian_sigma_2,0.8517225989893334
dorn_cuda_070,cuda,gaussian_sigma_4,0.7972029407057902
dorn_cuda_071,cuda,gaussian_sigma_1,0.8829733307827232
dorn_cuda_071,cuda,gaussian_sigma_2,0.6992477383743343
dorn_cuda_071,cuda,gaussian_sigma_4,0.5883365840093325
dorn_cuda_072,cuda,gaussian_sigma_1,0.9106487398668666
dorn_cuda_072,cuda,gaussian_sigma_2,0.7634717731663047
dorn_cuda_072,cuda,gaussian_sigma_4,0.6707396222250953
dorn_cuda_073,cuda,gaussian_sigma_1,0.9419182098090992
dorn_cuda_073,cuda,gaussian_sigma_2,0.8498093346430805
dorn_cuda_073,cuda,gaussian_sigma_4,0.7931015984232697
dorn_cuda_074,cuda,gaussian_sigma_1,0.9308365890765268
dorn_cuda_074,cuda,gaussian_sigma_2,0.818158358777897
dorn_cuda_074,cuda,gaussian_sigma_4,0.7499196137506748
dorn_cuda_075,cuda,gaussian_sigma_1,0.9237170453939982
dorn_cuda_075,cuda,gaussian_sigma_2,0.7967011419647848
dorn_cuda_075,cuda,gaussian_sigma_4,0.72032410173134
dorn_cuda_076,cuda,gaussian_sigma_1,0.9375077096522807
dorn_cuda_076,cuda,gaussian_sigma_2,0.8383941861636005
dorn_cuda_076,cuda,gaussian_sigma_4,0.7763163752320824
dorn_cuda_077,cuda,gaussian_sigma_1,0.9141920140323453
dorn_cuda_077,cuda,gaussian_sigma_2,0.7787732328219158
dorn_cuda_077,cuda,gaussian_sigma_4,0.6989375870888529
dorn_cuda_078,cuda,gaussian_sigma_1,0.8673728759894112
dorn_cuda_078,cuda,gaussian_sigma_2,0.6526663377613661
dorn_cuda_078,cuda,gaussian_sigma_4,0.5243443879222832
dorn_cuda_079,cuda,gaussian_sigma_1,0.8979618353097255
