model,language,score_stratum,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
OpenGVLab/InternVL3-8B,java,mid,semantic_and_visual_aligned,golden,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,3.3125,0.625,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,java,mid,semantic_only_under_ugly,ugly_gold,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,2.6875,0.5,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,java,mid,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,32,1,32,0,0.9696969696969697,1.0,0.8928208017449293,1.0,0.9696969696969697,0.030303030303030304,0.00536941053687183,0.1531872538211892,4.656612873077393e-10,33,33,1.0,1.8125,0.5625,1.862645149230957e-09
OpenGVLab/InternVL3-8B,java,mid,visual_only_gold,golden,ugly_gold,33,21,12,19,0,0.6363636363636364,0.9047619047619048,0.7108586092608176,0.9734812325619255,0.5757575757575758,0.36363636363636365,0.2218717823524236,0.5338382169773361,0.00022125244140625,33,28,0.8484848484848485,0.375,0.375,0.0004425048828125
OpenGVLab/InternVL3-8B,java,mid,visual_only_trash,beautiful_trash,ugly_trash,33,16,17,15,0,0.48484848484848486,0.9375,0.7167126242970107,0.9888806552353576,0.45454545454545453,0.5151515151515151,0.3521837544891414,0.674959578918663,0.000518798828125,33,32,0.9696969696969697,0.625,0.8125,0.000518798828125
OpenGVLab/InternVL3-8B,python,high,semantic_and_visual_aligned,golden,beautiful_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,2.1875,1.125,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,python,high,semantic_and_visual_aligned,golden,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,3.125,0.6875,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,python,high,semantic_only_under_ugly,ugly_gold,ugly_trash,33,32,1,32,0,0.9696969696969697,1.0,0.8928208017449293,1.0,0.9696969696969697,0.030303030303030304,0.00536941053687183,0.1531872538211892,4.656612873077393e-10,33,33,1.0,2.375,0.6875,1.862645149230957e-09
OpenGVLab/InternVL3-8B,python,high,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,28,5,28,0,0.8484848484848485,1.0,0.8793566952341543,0.9999999999999998,0.8484848484848485,0.15151515151515152,0.06650457281607568,0.3091987588044212,7.450580596923828e-09,33,33,1.0,1.5625,0.6875,2.2351741790771484e-08
OpenGVLab/InternVL3-8B,python,high,visual_only_gold,golden,ugly_gold,33,24,9,24,0,0.7272727272727273,1.0,0.8620237953250198,1.0,0.7272727272727273,0.2727272727272727,0.1506744088542064,0.44217559002872625,1.1920928955078125e-07,32,30,0.9375,0.625,0.4375,2.384185791015625e-07
