model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1000,539,293,0.539,0.5435992578849722,0.293,0.46099999999999997,0.0,0.26562577020883094,0.3219585078041889,0.5013886080767509,0.5851928407722482,0.11388536341401327,0.008133383177317993,0.518,0.03,0.625,0.6875
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1000,668,324,0.668,0.48502994011976047,0.324,0.33199999999999996,0.0,0.2957148222722109,0.35363219671470447,0.44732430239725957,0.5229067696251388,-0.035236980323084414,0.3631912596159626,0.478,0.02,0.5,0.8125
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1000,363,175,0.363,0.4820936639118457,0.175,0.637,0.0,0.1527057476303958,0.19978164538521503,0.431147955490064,0.5334143923923378,0.0020013386058588306,0.9696883618809079,0.5,0.02,1.0625,0.75
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1000,413,210,0.413,0.5084745762711864,0.21,0.587,0.0,0.18588891937362567,0.23633060054799632,0.46040425906101856,0.556388696274576,0.05065333700943334,0.3044502074718236,0.514,0.041,0.75,0.6875
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1000,373,178,0.373,0.4772117962466488,0.178,0.627,0.0,0.1555376102762298,0.2029268221884677,0.42701376243941813,0.5278744283313092,0.011958582022197278,0.8179428681615747,0.509,0.022,1.0,0.75
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1000,403,205,0.403,0.5086848635235732,0.205,0.597,0.0,0.18113008647590156,0.23112770103057595,0.4600247526412067,0.5571809668060956,0.04828350125389606,0.33362514763215134,0.508,0.029,0.8125,0.625
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1000,370,173,0.37,0.46756756756756757,0.173,0.63,0.0,0.1508192344529515,0.19768346559660158,0.41732206562018853,0.5184795972673107,-0.02221981234094855,0.6700983478418923,0.499,0.021,1.0,0.6875
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1000,434,217,0.434,0.5,0.217,0.5660000000000001,0.0,0.19256080207751963,0.24360514322530458,0.45316617225339006,0.5468338277466099,0.03008847853926303,0.53186799733614,0.504,0.027,0.6875,0.625
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1000,398,193,0.398,0.4849246231155779,0.193,0.602,0.0,0.16973301355427384,0.21861661615585704,0.43620405119009886,0.5339334253280856,-0.0019264295453128002,0.9694394769552219,0.507,0.02,0.9375,0.6875
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,1000,407,218,0.407,0.5356265356265356,0.218,0.593,0.0,0.19351481458069164,0.2446434772051615,0.48706688458332126,0.5835199546398757,0.11384666900459679,0.0216085302880141,0.527,0.033,0.75,0.625
OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,1000,384,169,0.384,0.4401041666666667,0.169,0.616,0.0,0.14704962548581355,0.193483688631624,0.3912909684289499,0.4901038671312509,-0.11315487018698438,0.026604616506317402,0.493,0.025,1.0625,0.75
OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,1000,457,211,0.457,0.4617067833698031,0.211,0.5429999999999999,0.0,0.18684137276354604,0.23737049364110482,0.41650878165057476,0.5075431903886469,-0.06502209419243907,0.16523584283499557,0.494,0.035,0.8125,0.6875
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,1000,377,162,0.377,0.4297082228116711,0.162,0.623,0.0,0.1404641118483431,0.18612277688789222,0.380694445458084,0.4801400336342955,-0.16516432966436803,0.0012891108730888328,0.492,0.018,1.0625,0.75
