experiment,model,language,difficulty_rank,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,friendly_light__fs20__wrap80__lnon,334,150,87,0.4491017964071856,0.58,0.26047904191616766,0.5508982035928144,0.0,0.21632256261428776,0.3100825134278497,0.49998480543102514,0.6560199554700825,0.12188993252373778,0.13730593495555196,0.5329341317365269,0.041916167664670656,0.75,0.5625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,friendly_light__fs24__wrap60__lnon,334,149,86,0.44610778443113774,0.5771812080536913,0.25748502994011974,0.5538922155688623,0.0,0.21353594921207802,0.30694919028058615,0.4968994986516456,0.6535832314758027,0.1714956946317993,0.03650468483909163,0.5479041916167665,0.029940119760479042,0.75,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,friendly_light__fs24__wrap80__lnon,334,185,105,0.5538922155688623,0.5675675675675675,0.3143712574850299,0.44610778443113774,0.0,0.2669310254295918,0.3660329085030647,0.4955207497799992,0.6368654336149173,0.19716359025899668,0.0071452961645648155,0.5419161676646707,0.014970059880239521,0.5625,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,mono_light__fs20__wrap60__lnon,334,151,87,0.45209580838323354,0.5761589403973509,0.26047904191616766,0.5479041916167664,0.0,0.21632256261428776,0.3100825134278497,0.49641119119546434,0.6521278381780184,0.18670784196209939,0.021706637247891188,0.5538922155688623,0.017964071856287425,0.875,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,mono_light__fs20__wrap80__lnon,334,165,96,0.4940119760479042,0.5818181818181818,0.2874251497005988,0.5059880239520957,0.0,0.24152376554510455,0.3381607394422924,0.5055313557464033,0.6543819747151239,0.15252654260293672,0.05048833054544931,0.5419161676646707,0.020958083832335328,0.75,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,mono_light__fs24__wrap60__lnon,334,147,86,0.44011976047904194,0.5850340136054422,0.25748502994011974,0.5598802395209581,0.0,0.21353594921207802,0.30694919028058615,0.5042093254954073,0.6615276025047229,0.18007409372939223,0.029071365691500907,0.5209580838323353,0.04491017964071856,0.90625,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,mono_light__fs24__wrap80__lnon,334,187,106,0.5598802395209581,0.5668449197860963,0.31736526946107785,0.4401197604790419,0.0,0.26976608290711,0.3691177875750199,0.49518486226432,0.6358139267539973,0.16221107355471417,0.02655207887388495,0.5508982035928144,0.011976047904191617,0.5625,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,monokai_dark__fs20__wrap60__lnon,334,171,99,0.5119760479041916,0.5789473684210527,0.2964071856287425,0.4880239520958084,0.0,0.24997078244473145,0.34747353219108545,0.5040086810163079,0.6504169350939387,0.17917761810136681,0.01903346368129932,0.5419161676646707,0.017964071856287425,0.6875,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,monokai_dark__fs20__wrap80__lnon,334,162,94,0.48502994011976047,0.5802469135802469,0.281437125748503,0.5149700598802396,0.0,0.23590508031408208,0.3319395515743684,0.5032538870943596,0.6535223507950508,0.15966269968886124,0.04240980332687169,0.5239520958083832,0.041916167664670656,0.6875,0.5625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,near,monokai_dark__fs24__wrap60__lnon,334,167,91,0.5,0.5449101796407185,0.27245508982035926,0.5,0.0,0.2274965227776778,0.32258829946235273,0.46922071620387673,0.6185799857073798,0.09904906194727961,0.20283497493740318,0.5329341317365269,0.03293413173652695,0.6875,0.625
