run,model_key,model,scope,language,n_pairs,bootstrap_reps_requested,c_ties_conservative_failures,rho_decile_valid_accuracy,rho_decile_effective_accuracy,rho_decile_debiased_accuracy,rho_decile_valid_accuracy_non_tie,rho_decile_effective_accuracy_non_tie,rho_decile_debiased_accuracy_non_tie,top_minus_bottom_valid_accuracy,valid_difference_ci_low,valid_difference_ci_high,valid_bootstrap_reps_used,top_minus_bottom_effective_accuracy,effective_difference_ci_low,effective_difference_ci_high,effective_bootstrap_reps_used,top_minus_bottom_debiased_accuracy,debiased_difference_ci_low,debiased_difference_ci_high,debiased_bootstrap_reps_used,top_minus_bottom_effective_accuracy_non_tie,effective_non_tie_difference_ci_low,effective_non_tie_difference_ci_high,effective_non_tie_bootstrap_reps_used,top_minus_bottom_debiased_accuracy_non_tie,debiased_non_tie_difference_ci_low,debiased_non_tie_difference_ci_high,debiased_non_tie_bootstrap_reps_used,calibration_target,calibration_train_pairs,calibration_test_pairs,calibration_cross_pairs_excluded,calibration_train_unique_snippets,calibration_test_unique_snippets,calibration_snippet_overlap,isotonic_ece_10_equal_frequency_bins,isotonic_auroc,raw_abs_c_auroc
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,java,3000,10000,12,-0.05454545454545454,0.8909090909090909,0.2121212121212121,-0.05454545454545454,0.8909090909090909,0.2121212121212121,-0.13554633471645916,-0.5240096069868996,0.4033928571428564,9979,0.5008173016471772,0.36906176096863685,0.6318960722783945,10000,0.07278699861687415,-0.09157835155736052,0.24012905508264737,10000,0.4993743002041757,0.3678548352948338,0.6301008045600349,10000,0.050961601791477296,-0.10851504405759724,0.21687558319996753,10000,debiased_correct; c=0 is incorrect,761,731,1508,156,157,0,0.075495384820827,0.48206803334084253,0.49503266501464294
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,python,3000,10000,11,0.5636363636363636,0.9999999999999999,0.6,0.5636363636363636,0.9999999999999999,0.6,0.4065934065934066,-0.31993524431369735,0.8101839987699246,9786,0.686172722982539,0.5017640682329583,0.8417557207608752,10000,0.25058990089664934,0.046289682539682526,0.43092648799466193,10000,0.685958485958486,0.4938245777157911,0.8343498260361641,10000,0.23516483516483516,0.030505956367724938,0.4095370582647467,10000,debiased_correct; c=0 is incorrect,756,755,1489,59,60,0,0.059278799625366856,0.5369494531480934,0.54149247638754
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,overall,all,9000,10000,1418,-0.4545454545454545,0.7333333333333332,-0.22424242424242422,-0.4545454545454545,0.7333333333333332,-0.4787878787878787,-0.08577777777777773,-0.21958497322224976,0.05309331598029212,10000,0.2685238939597592,0.1670959874588029,0.38667286792702577,10000,0.20323773487031005,0.09770356741451364,0.3236983425643833,10000,0.1071869318399088,-0.007118302061875469,0.23405641561404372,10000,-0.08253465016112715,-0.19629111044174327,0.044530061959863455,10000,debiased_correct; c=0 is incorrect,2260,2245,4495,275,277,0,0.0389237854365634,0.6291635825314581,0.6297253505150713
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,cuda,3000,10000,514,-0.5952380952380953,0.7333333333333334,-0.13333333333333333,-0.5952380952380953,0.6190476190476191,-0.6190476190476191,,,,0,0.363013698630137,0.18390593306288033,0.6687491841796105,10000,0.363013698630137,0.18435111381220637,0.6666666666666666,10000,,,,0,,,,0,debiased_correct; c=0 is incorrect,743,759,1498,60,60,0,0.07769537599210397,0.6207674943566591,0.6402834528673886
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,java,3000,10000,442,0.39285714285714296,1.0,0.8928571428571429,0.39285714285714296,1.0,0.8214285714285715,0.02034428794992177,-0.17303070203581786,0.21375450247852323,10000,0.3082525125775469,0.12880334014066577,0.48128598759166996,10000,0.18751978984648943,0.007560209585477885,0.3663969809992963,10000,0.2170943977435098,0.03281405144221376,0.4034081527347781,10000,0.02605355452875352,-0.16116371599388735,0.20672659160152973,10000,debiased_correct; c=0 is incorrect,761,731,1508,156,157,0,0.0772045978561749,0.622368957365289,0.624305046058531
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,python,3000,10000,462,-0.8571428571428573,0.5952380952380953,-0.2380952380952381,-0.8571428571428573,0.39285714285714296,-0.8571428571428573,,,,0,0.3191489361702128,0.19100982440291345,0.4693439369535204,10000,0.32127659574468087,0.19186011655791646,0.4709427977015391,10000,,,,0,,,,0,debiased_correct; c=0 is incorrect,756,755,1489,59,60,0,0.08293428425878754,0.6461187214611872,0.6193624591273785
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,overall,all,9000,10000,238,0.9393939393939393,0.9999999999999999,0.9999999999999999,0.9393939393939393,0.9999999999999999,0.9878787878787878,0.27345537757437066,0.0244862256414981,0.5325265342956377,10000,0.8342322419477035,0.764420940273991,0.892506031113728,10000,0.4365153469705347,0.3540785367569857,0.5092855434287334,10000,0.827660715494395,0.7567258356086901,0.8874500666296107,10000,0.3213919391033151,0.23646561517962897,0.40224568984369774,10000,debiased_correct; c=0 is incorrect,2260,2245,4495,275,277,0,0.06801042248272303,0.6219772546556459,0.6245548153444209
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,cuda,3000,10000,76,0.9636363636363635,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9999999999999999,0.9757575757575757,0.2712418300653594,-0.10870131583030758,0.703017648886814,10000,0.8519662008449789,0.7321670159900053,0.9456143666252246,10000,0.4403639909002275,0.29465221973715594,0.5734013209013209,10000,0.8438914027149321,0.7212424123985434,0.9366863652477089,10000,0.3229123817359111,0.17159333614991296,0.4614583990217704,10000,debiased_correct; c=0 is incorrect,743,759,1498,60,60,0,0.07658459178338486,0.6630272082326343,0.6651360411631714
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,java,3000,10000,85,0.4666666666666666,0.9999999999999999,0.8909090909090909,0.4666666666666666,0.9999999999999999,0.8787878787878788,0.05510571300044986,-0.27711254107338446,0.4729172923684058,10000,0.704995152813919,0.5734798456410849,0.8240870565980767,10000,0.31116893719067296,0.15914560939433262,0.45321531854312536,10000,0.6970135862599333,0.5630244591454993,0.8187133687510142,10000,0.20126890540886944,0.04258954722388616,0.3511475200814165,10000,debiased_correct; c=0 is incorrect,761,731,1508,156,157,0,0.070314750806074,0.5433280109489051,0.5409595498783455
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,python,3000,10000,77,0.9151515151515152,0.9999999999999999,0.9878787878787878,0.9151515151515152,0.9999999999999999,0.9878787878787878,0.5941114616193481,-0.06274091467622751,0.970684609627112,9550,0.9155997304582211,0.8257129734868054,0.9767712767470583,10000,0.528863432165319,0.4098971504923243,0.6325435478033117,10000,0.9129452903037809,0.8178186698015901,0.9763072590108434,10000,0.41029843860032544,0.2803660781385364,0.5275743321855092,10000,debiased_correct; c=0 is incorrect,756,755,1489,59,60,0,0.08711118762739162,0.6524092050577887,0.6557575668570925
