model,representation,language,condition,family,n_snippets,mean_baseline_cosine_distance,median_baseline_cosine_distance,bootstrap_ci_low,bootstrap_ci_high
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,no_indent,layout,120,0.0020838066935539245,0.0017835497856140137,0.001851645732919375,0.00235068466514349
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,gaussian_sigma_1,blur,313,0.005270435977667665,0.0048944950103759766,0.005099559106384984,0.005445348554716323
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,gaussian_sigma_2,blur,313,0.01853669660921676,0.01788163185119629,0.018106587892904067,0.0189902032668979
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,gaussian_sigma_4,blur,313,0.21951280577114216,0.21562063694000244,0.21569298381051316,0.22357517606534133
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,no_blank_lines,layout,313,0.0020047921342209885,0.001368701457977295,0.0017202216596268237,0.0022849398775222586
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,no_indent,layout,313,0.003736757432309964,0.0035136938095092773,0.0035510039034362035,0.0039186038243504
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,gaussian_sigma_1,blur,119,0.00508549584060156,0.004793405532836914,0.004841910002111387,0.005355453052941491
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,gaussian_sigma_2,blur,119,0.02156437945966961,0.01979660987854004,0.020377305876307126,0.02286558242655602
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,gaussian_sigma_4,blur,119,0.2257120724485702,0.22813498973846436,0.21976572719692183,0.23117491859598321
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,no_blank_lines,layout,119,0.0033969884159184304,0.0027871131896972656,0.0028936394247688164,0.00394074980701719
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,no_indent,layout,119,0.0023104563480665706,0.002183198928833008,0.002068336257914535,0.002561555114112982
