model,representation,language,query_condition,n_queries,same_snippet_top1
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,monokai_dark__fs24__wrap80__lnon,1320,0.9196969696969697
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,friendly_light__fs20__wrap60__lnon,3443,0.9645657856520476
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,friendly_light__fs20__wrap80__lnon,3443,0.9648562300319489
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,friendly_light__fs24__wrap60__lnon,3443,0.9674702294510601
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,friendly_light__fs24__wrap80__lnon,3443,0.9645657856520476
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,mono_light__fs20__wrap60__lnon,3443,0.9445251234388614
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,mono_light__fs20__wrap80__lnon,3443,0.9401684577403427
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,mono_light__fs24__wrap60__lnon,3443,0.9378449027011327
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,mono_light__fs24__wrap80__lnon,3443,0.9157711298286378
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,monokai_dark__fs20__wrap60__lnon,3443,0.9657275631716526
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,monokai_dark__fs20__wrap80__lnon,3443,0.953238454835899
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,monokai_dark__fs24__wrap60__lnon,3443,0.9663084519314551
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,monokai_dark__fs24__wrap80__lnon,3443,0.9622422306128376
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,friendly_light__fs20__wrap60__lnon,1309,0.9656226126814362
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,friendly_light__fs20__wrap80__lnon,1309,0.9648586707410237
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,friendly_light__fs24__wrap60__lnon,1309,0.9656226126814362
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,friendly_light__fs24__wrap80__lnon,1309,0.9618029029793735
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,mono_light__fs20__wrap60__lnon,1309,0.9572192513368984
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,mono_light__fs20__wrap80__lnon,1309,0.9556913674560733
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,mono_light__fs24__wrap60__lnon,1309,0.9457601222307105
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,mono_light__fs24__wrap80__lnon,1309,0.9396485867074102
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,monokai_dark__fs20__wrap60__lnon,1309,0.9587471352177235
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,monokai_dark__fs20__wrap80__lnon,1309,0.9549274255156608
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,monokai_dark__fs24__wrap60__lnon,1309,0.9648586707410237
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,monokai_dark__fs24__wrap80__lnon,1309,0.9656226126814362
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,friendly_light__fs20__wrap60__lnon,1320,0.9484848484848485
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,friendly_light__fs20__wrap80__lnon,1320,0.9621212121212122
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,friendly_light__fs24__wrap60__lnon,1320,0.9590909090909091
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,friendly_light__fs24__wrap80__lnon,1320,0.9545454545454546
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,mono_light__fs20__wrap60__lnon,1320,0.9409090909090909
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,mono_light__fs20__wrap80__lnon,1320,0.95
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,mono_light__fs24__wrap60__lnon,1320,0.946969696969697
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,mono_light__fs24__wrap80__lnon,1320,0.9325757575757576
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,monokai_dark__fs20__wrap60__lnon,1320,0.9515151515151515
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,monokai_dark__fs20__wrap80__lnon,1320,0.9583333333333334
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,monokai_dark__fs24__wrap60__lnon,1320,0.9507575757575758
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,monokai_dark__fs24__wrap80__lnon,1320,0.9515151515151515
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,friendly_light__fs20__wrap60__lnon,3443,0.99535288992158
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,friendly_light__fs20__wrap80__lnon,3443,0.99535288992158
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,friendly_light__fs24__wrap60__lnon,3443,0.9956433343014812
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,friendly_light__fs24__wrap80__lnon,3443,0.994191112401975
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,mono_light__fs20__wrap60__lnon,3443,0.9793784490270113
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,mono_light__fs20__wrap80__lnon,3443,0.9753122277083939
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,mono_light__fs24__wrap60__lnon,3443,0.9811211153064188
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,mono_light__fs24__wrap80__lnon,3443,0.9654371187917514
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,monokai_dark__fs20__wrap60__lnon,3443,0.9944815567818762
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,monokai_dark__fs20__wrap80__lnon,3443,0.99302933488237
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,monokai_dark__fs24__wrap60__lnon,3443,0.9956433343014812
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,monokai_dark__fs24__wrap80__lnon,3443,0.9933197792622713
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,friendly_light__fs20__wrap60__lnon,1309,0.970970206264324
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,friendly_light__fs20__wrap80__lnon,1309,0.972498090145149
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,friendly_light__fs24__wrap60__lnon,1309,0.972498090145149
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,friendly_light__fs24__wrap80__lnon,1309,0.9717341482047365
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,mono_light__fs20__wrap60__lnon,1309,0.9640947288006112
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,mono_light__fs20__wrap80__lnon,1309,0.9671504965622613
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,mono_light__fs24__wrap60__lnon,1309,0.972498090145149
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,mono_light__fs24__wrap80__lnon,1309,0.9679144385026738
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,monokai_dark__fs20__wrap60__lnon,1309,0.970970206264324
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,monokai_dark__fs20__wrap80__lnon,1309,0.970970206264324
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,monokai_dark__fs24__wrap60__lnon,1309,0.972498090145149
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,monokai_dark__fs24__wrap80__lnon,1309,0.9694423223834988
