model,representation,language,condition,rq0_id,baseline_cosine_distance
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_101,0.0009714365005493164
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_102,0.0005741715431213379
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_103,0.0011838674545288086
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_104,0.0009063482284545898
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_105,0.0019465088844299316
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_106,0.0006694793701171875
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_107,0.004023134708404541
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_108,0.006442546844482422
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_109,0.003944993019104004
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_110,0.0017418861389160156
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_111,0.0009375214576721191
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_112,0.0005932450294494629
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_113,0.0009611845016479492
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_114,0.0017696619033813477
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_115,0.0017066001892089844
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_116,0.0008974671363830566
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_117,0.000698089599609375
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_118,0.0009951591491699219
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_119,0.0015063285827636719
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_000,0.0025037527084350586
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_001,0.008996069431304932
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_002,0.008553922176361084
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_003,0.0026422739028930664
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_004,0.002287149429321289
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_005,0.004252493381500244
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_006,0.004977524280548096
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_007,0.002612471580505371
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_008,0.006882786750793457
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_009,0.0032732486724853516
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_010,0.0026816129684448242
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_011,0.00921565294265747
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_012,0.006128251552581787
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_013,0.002496004104614258
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_014,0.0021355748176574707
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_015,0.002518177032470703
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_016,0.0026006102561950684
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_017,0.0020536184310913086
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_018,0.0038420557975769043
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_019,0.0025706887245178223
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_020,0.002438068389892578
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_021,0.006413698196411133
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_022,0.003473520278930664
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_023,0.002621293067932129
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_024,0.002075791358947754
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_025,0.0018864870071411133
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_026,0.0025069713592529297
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_027,0.0034412741661071777
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_028,0.0028661489486694336
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_029,0.011335253715515137
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_030,0.0018805861473083496
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_031,0.002594292163848877
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_032,0.004308581352233887
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_033,0.0023335814476013184
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_034,0.0023953914642333984
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_035,0.02365553379058838
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_036,0.002339303493499756
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_037,0.002324342727661133
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_038,0.004684507846832275
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_039,0.0031288862228393555
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_040,0.01749420166015625
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_041,0.0038250088691711426
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_042,0.0023559927940368652
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_043,0.0043373703956604
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_044,0.004610180854797363
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_045,0.010960161685943604
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_046,0.001918792724609375
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_047,0.0027944445610046387
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_048,0.0031987428665161133
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_049,0.003555893898010254
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_050,0.006911516189575195
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_051,0.0054912567138671875
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_052,0.006855189800262451
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_053,0.004929304122924805
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_054,0.008053839206695557
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_055,0.00415802001953125
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_056,0.005615234375
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_057,0.007281899452209473
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_058,0.006250321865081787
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_059,0.0035461783409118652
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_060,0.002276182174682617
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_061,0.002929985523223877
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_062,0.0
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_063,0.004991471767425537
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_064,0.0023953914642333984
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_065,0.006741225719451904
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_066,0.00977104902267456
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_067,0.0032945871353149414
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_068,0.0023030638694763184
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_069,0.002818286418914795
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_070,0.0048386454582214355
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_071,0.0037751197814941406
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_072,0.0064275264739990234
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_073,0.003232419490814209
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_074,0.004259824752807617
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_075,0.0037397146224975586
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_076,0.0026355981826782227
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_077,0.005138278007507324
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_078,0.003278374671936035
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_079,0.001971721649169922
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_080,0.007737338542938232
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_081,0.004090070724487305
