snippet_id,dataset_name,ocr_engine,parse_status,char_error_rate,original_num_lines,ocr_num_lines,token_precision,token_recall,token_f1,indent_mean_abs_delta,runtime_sec,mean_confidence,line_count_abs_diff
dorn_cuda_065,Dorn,easyocr,ok,0.3456221198156682,11,29,0.6166666666666667,0.7872340425531915,0.691588785046729,8.125,0.8707818984985352,0.8852417703344521,18
dorn_cuda_066,Dorn,easyocr,ok,0.6012269938650306,11,26,0.75,0.7083333333333334,0.7285714285714285,5.777777777777778,0.6091022491455078,0.8274181185201048,15
dorn_cuda_067,Dorn,easyocr,ok,0.1613372093023256,11,42,0.808695652173913,0.775,0.7914893617021276,4.5,2.062649726867676,0.8583373720307632,31
dorn_cuda_068,Dorn,easyocr,ok,0.42378048780487804,31,127,0.7217391304347827,0.4119106699751861,0.5244865718799369,4.666666666666667,3.83867073059082,0.8905547432021005,96
dorn_cuda_069,Dorn,easyocr,ok,0.36229205175600737,51,170,0.6184615384615385,0.5403225806451613,0.5767575322812051,6.6607843137254905,7.1151182651519775,0.8300464228910448,119
dorn_cuda_007,Dorn,easyocr,ok,0.3665364583333333,51,178,0.8129770992366412,0.7675675675675676,0.7896200185356811,7.076923076923077,6.322178363800049,0.8588585619964288,127
dorn_cuda_070,Dorn,easyocr,ok,0.2898550724637681,11,29,0.8478260869565217,0.8297872340425532,0.8387096774193549,2.5,0.8917925357818604,0.9277326040144432,18
dorn_cuda_071,Dorn,easyocr,ok,0.2561863173216885,31,122,0.690625,0.6779141104294478,0.6842105263157894,9.777777777777779,4.671324968338013,0.8769988673171761,91
dorn_cuda_072,Dorn,easyocr,ok,0.19047619047619047,10,29,0.7619047619047619,0.7804878048780488,0.7710843373493976,3.2,1.0657851696014404,0.8734474020233568,19
dorn_cuda_073,Dorn,easyocr,ok,0.347787610619469,51,112,0.6320346320346321,0.5725490196078431,0.6008230452674898,4.3478260869565215,4.487207174301148,0.8609445531739297,61
dorn_cuda_074,Dorn,easyocr,ok,0.509009009009009,31,94,0.7714285714285715,0.35064935064935066,0.4821428571428572,3.4285714285714284,2.5940165519714355,0.9156217851376358,63
dorn_cuda_075,Dorn,easyocr,ok,0.2415158371040724,50,211,0.8058035714285714,0.8595238095238096,0.8317972350230415,3.0588235294117645,6.9319257736206055,0.8996686304112762,161
dorn_cuda_076,Dorn,easyocr,ok,0.3336113427856547,51,134,0.6496062992125984,0.5913978494623656,0.6191369606003753,4.372093023255814,4.635067462921143,0.8662019203449762,83
dorn_cuda_077,Dorn,easyocr,ok,0.2514124293785311,11,24,0.5918367346938775,0.5370370370370371,0.5631067961165048,15.5,0.7584576606750488,0.7985875925051641,13
dorn_cuda_078,Dorn,easyocr,ok,0.26999101527403413,31,187,0.7400468384074942,0.575591985428051,0.6475409836065574,4.153846153846154,7.240580558776855,0.8667826817483586,156
dorn_cuda_079,Dorn,easyocr,ok,0.2840989399293286,30,111,0.7848484848484848,0.7896341463414634,0.7872340425531915,4.631578947368421,5.23880934715271,0.8779547042154623,81
dorn_cuda_008,Dorn,easyocr,ok,0.19877675840978593,11,28,0.7692307692307693,0.6779661016949152,0.7207207207207208,4.0,1.0728657245635986,0.9299747073140916,17
dorn_cuda_080,Dorn,easyocr,ok,0.4140127388535032,11,22,0.8703703703703703,0.7121212121212122,0.7833333333333333,5.777777777777778,0.5246388912200928,0.8673977486035994,11
dorn_cuda_081,Dorn,easyocr,ok,0.2996389891696751,51,194,0.6674876847290641,0.6895674300254453,0.6783479349186483,18.6,8.466055870056152,0.865441714276208,143
dorn_cuda_082,Dorn,easyocr,ok,0.5583783783783783,31,144,0.7142857142857143,0.6433823529411765,0.6769825918762089,21.714285714285715,5.411074876785278,0.7208503826856159,113
dorn_cuda_083,Dorn,easyocr,ok,0.2544204322200393,31,161,0.18686868686868688,0.30833333333333335,0.2327044025157233,0.0,3.563304901123047,0.8963142400188904,130
dorn_cuda_084,Dorn,easyocr,ok,0.3305233579206182,51,275,0.6654275092936803,0.6568807339449542,0.6611265004616804,5.191489361702128,9.648207187652588,0.8347844519163015,224
dorn_cuda_085,Dorn,easyocr,ok,0.3165680473372781,11,32,0.85,0.7391304347826086,0.7906976744186046,9.2,0.9439098834991456,0.8327984756091782,21
dorn_cuda_086,Dorn,easyocr,ok,0.39316239316239315,31,162,0.8061224489795918,0.7488151658767772,0.7764127764127763,7.5,4.5896642208099365,0.8443989763811325,131
dorn_cuda_087,Dorn,easyocr,ok,0.27606177606177607,31,112,0.5955056179775281,0.5824175824175825,0.5888888888888889,4.2105263157894735,3.510807752609253,0.8877558237857219,81
dorn_cuda_088,Dorn,easyocr,ok,0.14215686274509803,11,22,0.8305084745762712,0.8448275862068966,0.8376068376068375,0.0,0.4856863021850586,0.8460025157192637,11
