model,setting,scope,language,difficulty,pairs,rf_accuracy,vlm_effective_accuracy,delta_vlm_minus_rf,delta_ci_low,delta_ci_high,mcnemar_rf_only_correct,mcnemar_vlm_only_correct,mcnemar_p,mcnemar_fdr_p
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,python,hard,1000,0.562,0.309,-0.253,-0.297,-0.21197500000000014,394,141,1.0884344693998616e-28,1.374864592926141e-28
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,python,medium,1000,0.593,0.342,-0.251,-0.294,-0.20997500000000013,380,129,9.986678588822872e-30,1.29556911422567e-29
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,overall,all,all,6000,0.681,0.38533333333333336,-0.2956666666666667,-0.31266666666666665,-0.2798333333333333,2392,618,1.7505724506184174e-244,2.1006869407421008e-243
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language,cuda,all,3000,0.734,0.359,-0.375,-0.397675,-0.3516583333333334,1409,284,5.333790871333447e-179,3.9387994126770073e-178
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language,python,all,3000,0.628,0.4116666666666667,-0.21633333333333332,-0.239,-0.194,983,334,2.0399735563924204e-74,4.450851395765281e-74
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,difficulty,all,easy,2000,0.8075,0.5105,-0.297,-0.3245,-0.271,755,161,1.4057190760182857e-92,4.35319455799211e-92
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,difficulty,all,hard,2000,0.585,0.2955,-0.2895,-0.31951250000000003,-0.261,805,226,1.0828078026208117e-76,2.598738726289948e-76
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,difficulty,all,medium,2000,0.6505,0.35,-0.3005,-0.32901250000000004,-0.2719875000000001,832,231,3.862519941986276e-80,1.030005317863007e-79
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,cuda,easy,1000,0.886,0.496,-0.39,-0.429,-0.351,450,60,6.33906133524888e-75,1.448928305199744e-74
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,cuda,hard,1000,0.608,0.27,-0.338,-0.379,-0.297,448,110,2.3524091023081352e-49,3.8276487088403555e-49
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,cuda,medium,1000,0.708,0.311,-0.397,-0.44,-0.355,511,114,6.560340292594304e-61,1.2852911593654145e-60
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,python,easy,1000,0.729,0.525,-0.204,-0.240025,-0.167,305,101,6.754637235067644e-25,8.005495982302393e-25
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,python,hard,1000,0.562,0.321,-0.241,-0.282,-0.204,357,116,1.386360896781238e-29,1.7745419478799845e-29
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,language_difficulty,python,medium,1000,0.593,0.389,-0.204,-0.243,-0.164,321,117,4.7659901114606644e-23,5.446845841669331e-23
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,overall,all,all,6000,0.681,0.4895,-0.1915,-0.2088375,-0.1745,2044,895,3.641539578183761e-102,1.2485278553772894e-101
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language,cuda,all,3000,0.734,0.5086666666666667,-0.22533333333333333,-0.25033333333333335,-0.201,1099,423,2.1809516672924906e-69,4.551551305653893e-69
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language,python,all,3000,0.628,0.4703333333333333,-0.15766666666666668,-0.182,-0.13466666666666666,945,472,9.988688033351192e-37,1.3698772160024493e-36
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,difficulty,all,easy,2000,0.8075,0.5845,-0.223,-0.251,-0.1955,666,220,8.17703284130008e-53,1.4017770585085852e-52
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,difficulty,all,hard,2000,0.585,0.415,-0.17,-0.2010125,-0.1415,682,342,1.0899924556214925e-26,1.3079909467457912e-26
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,difficulty,all,medium,2000,0.6505,0.469,-0.1815,-0.211,-0.152,696,333,3.905187226209074e-30,5.13558868104207e-30
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,cuda,easy,1000,0.886,0.61,-0.276,-0.313,-0.239,353,77,2.699823605610695e-43,4.114016922835345e-43
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,cuda,hard,1000,0.608,0.433,-0.175,-0.221,-0.133,354,179,2.8445426015439647e-14,2.968218366828485e-14
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,cuda,medium,1000,0.708,0.483,-0.225,-0.266,-0.181,392,167,7.436421425513799e-22,8.398781845286172e-22
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,python,easy,1000,0.729,0.559,-0.17,-0.212,-0.129,313,143,1.1655189982326741e-15,1.2295585036300739e-15
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,python,hard,1000,0.562,0.397,-0.165,-0.204,-0.122,328,163,7.919471374106744e-14,8.174938192626315e-14
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,language_difficulty,python,medium,1000,0.593,0.455,-0.138,-0.181,-0.097,304,166,1.961048223689069e-10,1.961048223689069e-10
Qwen/Qwen2.5-VL-7B-Instruct,image_only,overall,all,all,6000,0.681,0.4261666666666667,-0.25483333333333336,-0.2711708333333333,-0.23783333333333334,2166,637,2.1589682577092318e-193,1.8841904794553294e-192
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language,cuda,all,3000,0.734,0.49966666666666665,-0.23433333333333334,-0.25766666666666665,-0.212,1024,321,9.581189817529354e-86,2.7872552196449026e-85
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language,python,all,3000,0.628,0.3526666666666667,-0.2753333333333333,-0.2996666666666667,-0.2523250000000001,1142,316,8.835568157100188e-110,3.5342272628400746e-109
Qwen/Qwen2.5-VL-7B-Instruct,image_only,difficulty,all,easy,2000,0.8075,0.5465,-0.261,-0.287,-0.2345,682,160,2.0248824362830552e-77,4.984325997004444e-77
Qwen/Qwen2.5-VL-7B-Instruct,image_only,difficulty,all,hard,2000,0.585,0.3345,-0.2505,-0.2795,-0.223,740,239,3.477342644561584e-60,6.676497877558241e-60
Qwen/Qwen2.5-VL-7B-Instruct,image_only,difficulty,all,medium,2000,0.6505,0.3975,-0.253,-0.2825,-0.223,744,238,3.2123721263013585e-61,6.424744252602717e-61
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,cuda,easy,1000,0.886,0.644,-0.242,-0.277,-0.207,303,61,1.069000962438873e-39,1.6035014436583097e-39
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,cuda,hard,1000,0.608,0.387,-0.221,-0.261025,-0.178,354,133,3.2874368939519552e-24,3.8487066075535084e-24
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,cuda,medium,1000,0.708,0.468,-0.24,-0.28,-0.19897500000000015,367,127,4.716481168637741e-28,5.880288210249651e-28
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,python,easy,1000,0.729,0.449,-0.28,-0.321,-0.241,379,99,1.2206349455070969e-39,1.802783919518174e-39
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,python,hard,1000,0.562,0.282,-0.28,-0.321,-0.24,386,106,2.064622329663329e-38,3.003087024964842e-38
Qwen/Qwen2.5-VL-7B-Instruct,image_only,language_difficulty,python,medium,1000,0.593,0.327,-0.266,-0.305,-0.224,377,111,6.60370776617261e-35,8.92895697961367e-35
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,overall,all,all,6000,0.681,0.4836666666666667,-0.19733333333333333,-0.21467083333333334,-0.18099583333333336,2075,891,1.5801900028830558e-107,6.067929611070934e-107
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language,cuda,all,3000,0.734,0.501,-0.233,-0.25866666666666666,-0.209,1103,404,4.891161742243839e-75,1.1452476274522159e-74
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language,python,all,3000,0.628,0.4663333333333333,-0.16166666666666665,-0.185,-0.13732500000000006,972,487,1.828656137443248e-37,2.557605170178482e-37
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,difficulty,all,easy,2000,0.8075,0.5775,-0.23,-0.257,-0.201,676,216,7.616778679082645e-56,1.3294740967126072e-55
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,difficulty,all,hard,2000,0.585,0.413,-0.172,-0.201,-0.1425,689,345,4.884653034252343e-27,5.935780902382593e-27
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,difficulty,all,medium,2000,0.6505,0.4605,-0.19,-0.2205,-0.16,710,330,1.3659072261848203e-32,1.8212096349130937e-32
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,cuda,easy,1000,0.886,0.609,-0.277,-0.314,-0.241,347,70,3.4030253054660355e-45,5.269200472979668e-45
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,cuda,hard,1000,0.608,0.417,-0.191,-0.233,-0.148,366,175,1.5143735233858583e-16,1.6153317582782487e-16
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,cuda,medium,1000,0.708,0.477,-0.231,-0.277,-0.185,390,159,2.1017651000005442e-23,2.430957224097015e-23
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,python,easy,1000,0.729,0.546,-0.183,-0.225,-0.142,329,146,2.738884513982029e-17,2.9878740152531227e-17
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,python,hard,1000,0.562,0.409,-0.153,-0.195,-0.11097500000000014,323,170,5.173955067597666e-12,5.284039217972084e-12
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,language_difficulty,python,medium,1000,0.593,0.444,-0.149,-0.192,-0.106,320,171,1.6933343933347458e-11,1.711158965896164e-11
