model,language,benchmark,difficulty,n_total,n_valid,valid_accuracy,ceiling_k1,ceiling_panel,valid_accuracy_over_panel_ceiling
Qwen/Qwen2.5-VL-7B-Instruct,java,Dorn,hard,96,58,0.43103448275862066,0.5388969532153975,0.9101873626373624,0.4735667626824146
Qwen/Qwen2.5-VL-7B-Instruct,java,Dorn,medium,100,68,0.36764705882352944,0.58748065972788,0.9973357142857144,0.36862919231448155
Qwen/Qwen2.5-VL-7B-Instruct,java,Scalabrino,easy,159,58,0.9655172413793104,0.8038667598416027,0.9837647798742136,0.9814513195956899
Qwen/Qwen2.5-VL-7B-Instruct,java,Scalabrino,hard,81,22,0.6818181818181818,0.5688919372046943,0.7054382716049382,0.9665171415593621
Qwen/Qwen2.5-VL-7B-Instruct,java,Scalabrino,medium,190,53,0.8113207547169812,0.6303118908382067,0.8476050000000002,0.9571920348711735
Qwen/Qwen2.5-VL-7B-Instruct,python,Dorn,easy,1000,585,0.8444444444444444,0.7267348056139338,1.0,0.8444444444444444
Qwen/Qwen2.5-VL-7B-Instruct,python,Dorn,hard,1000,392,0.6581632653061225,0.5564328690772092,0.96533875,0.6817951369984085
Qwen/Qwen2.5-VL-7B-Instruct,python,Dorn,medium,1000,468,0.7371794871794872,0.6168848800001483,0.9997440000000001,0.737368253452371
google/gemma-3-12b-it,cuda,Dorn,easy,1000,834,0.7601918465227818,0.758950202329012,1.0,0.7601918465227818
google/gemma-3-12b-it,cuda,Dorn,hard,1000,813,0.5547355473554736,0.5539244583061429,0.9619338499999999,0.5766878329060503
google/gemma-3-12b-it,cuda,Dorn,medium,1000,820,0.6402439024390244,0.613092063862134,0.9996559500000001,0.6404642541656701
google/gemma-3-12b-it,java,Buse,easy,106,91,0.8681318681318682,0.778684632068384,1.0,0.8681318681318682
google/gemma-3-12b-it,java,Buse,hard,99,83,0.6144578313253012,0.5585276989552654,0.9366717171717173,0.6560012649689672
google/gemma-3-12b-it,java,Buse,medium,94,77,0.5714285714285714,0.619745337706557,0.9983856382978721,0.572352555474244
google/gemma-3-12b-it,java,Dorn,easy,79,58,0.27586206896551724,0.6922444518757117,0.9999987012987013,0.27586242722840976
google/gemma-3-12b-it,java,Dorn,hard,96,69,0.463768115942029,0.5388969532153975,0.9101873626373624,0.5095303835006154
google/gemma-3-12b-it,java,Dorn,medium,100,68,0.47058823529411764,0.58748065972788,0.9973357142857144,0.4718453661625363
google/gemma-3-12b-it,java,Scalabrino,easy,159,137,0.8978102189781022,0.8038667598416027,0.9837647798742136,0.9126269178826449
google/gemma-3-12b-it,java,Scalabrino,hard,81,60,0.6333333333333333,0.5688919372046943,0.7054382716049382,0.8977870337151408
google/gemma-3-12b-it,java,Scalabrino,medium,190,153,0.7320261437908496,0.6303118908382067,0.8476050000000002,0.8636406625619829
google/gemma-3-12b-it,python,Dorn,easy,1000,755,0.7311258278145696,0.7267348056139338,1.0,0.7311258278145696
google/gemma-3-12b-it,python,Dorn,hard,1000,659,0.5978755690440061,0.5564328690772092,0.96533875,0.6193427634019727
google/gemma-3-12b-it,python,Dorn,medium,1000,721,0.6269070735090153,0.6168848800001483,0.9997440000000001,0.627067602815336
microsoft/Phi-4-multimodal-instruct,cuda,Dorn,easy,1000,715,0.4,0.758950202329012,1.0,0.4
microsoft/Phi-4-multimodal-instruct,cuda,Dorn,hard,1000,695,0.48345323741007196,0.5539244583061429,0.9619338499999999,0.5025847020666463
microsoft/Phi-4-multimodal-instruct,cuda,Dorn,medium,1000,720,0.4708333333333333,0.613092063862134,0.9996559500000001,0.47099537929357926
microsoft/Phi-4-multimodal-instruct,java,Buse,easy,106,48,0.4166666666666667,0.778684632068384,1.0,0.4166666666666667
microsoft/Phi-4-multimodal-instruct,java,Buse,hard,99,53,0.5849056603773585,0.5585276989552654,0.9366717171717173,0.6244510746448955
microsoft/Phi-4-multimodal-instruct,java,Buse,medium,94,54,0.42592592592592593,0.619745337706557,0.9983856382978721,0.4266146362562653
microsoft/Phi-4-multimodal-instruct,java,Dorn,easy,79,56,0.375,0.6922444518757117,0.9999987012987013,0.3750004870136195
microsoft/Phi-4-multimodal-instruct,java,Dorn,hard,96,61,0.32786885245901637,0.5388969532153975,0.9101873626373624,0.36022127522072195
microsoft/Phi-4-multimodal-instruct,java,Dorn,medium,100,64,0.5,0.58748065972788,0.9973357142857144,0.5013357015476948
microsoft/Phi-4-multimodal-instruct,java,Scalabrino,easy,159,104,0.27884615384615385,0.8038667598416027,0.9837647798742136,0.28344799442993657
microsoft/Phi-4-multimodal-instruct,java,Scalabrino,hard,81,47,0.48936170212765956,0.5688919372046943,0.7054382716049382,0.693698827842606
microsoft/Phi-4-multimodal-instruct,java,Scalabrino,medium,190,128,0.3671875,0.6303118908382067,0.8476050000000002,0.433205915491296
microsoft/Phi-4-multimodal-instruct,python,Dorn,easy,1000,680,0.3926470588235294,0.7267348056139338,1.0,0.3926470588235294
microsoft/Phi-4-multimodal-instruct,python,Dorn,hard,1000,685,0.47883211678832116,0.5564328690772092,0.96533875,0.4960249620025314
microsoft/Phi-4-multimodal-instruct,python,Dorn,medium,1000,682,0.4662756598240469,0.6168848800001483,0.9997440000000001,0.46639505695862826
mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,Dorn,easy,1000,663,0.5972850678733032,0.758950202329012,1.0,0.5972850678733032
mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,Dorn,hard,1000,611,0.55810147299509,0.5539244583061429,0.9619338499999999,0.5801869567175436
mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,Dorn,medium,1000,640,0.5859375,0.613092063862134,0.9996559500000001,0.5861391611784034
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Buse,easy,106,74,0.6756756756756757,0.778684632068384,1.0,0.6756756756756757
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Buse,hard,99,64,0.515625,0.5585276989552654,0.9366717171717173,0.5504863556219366
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Buse,medium,94,64,0.625,0.619745337706557,0.9983856382978721,0.6260106075499545
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Dorn,easy,79,55,0.509090909090909,0.6922444518757117,0.9999987012987013,0.5090915702487925
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Dorn,hard,96,71,0.352112676056338,0.5388969532153975,0.9101873626373624,0.3868573554307049
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Dorn,medium,100,71,0.5352112676056338,0.58748065972788,0.9973357142857144,0.5366410326426029
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Scalabrino,easy,159,120,0.6083333333333333,0.8038667598416027,0.9837647798742136,0.6183727510666891
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Scalabrino,hard,81,54,0.5370370370370371,0.5688919372046943,0.7054382716049382,0.761281402857868
mistralai/Ministral-3-8B-Instruct-2512-BF16,java,Scalabrino,medium,190,140,0.5142857142857142,0.6303118908382067,0.8476050000000002,0.6067516287489032
mistralai/Ministral-3-8B-Instruct-2512-BF16,python,Dorn,easy,1000,613,0.564437194127243,0.7267348056139338,1.0,0.564437194127243
mistralai/Ministral-3-8B-Instruct-2512-BF16,python,Dorn,hard,1000,663,0.5052790346907994,0.5564328690772092,0.96533875,0.5234214773734084
mistralai/Ministral-3-8B-Instruct-2512-BF16,python,Dorn,medium,1000,650,0.5323076923076923,0.6168848800001483,0.9997440000000001,0.5324439979711728
