model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
phi,overall,all,10,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,750,269,0.3586666666666667,0.3548812664907652,0.3562005277044855,758,0.3586666666666667,0.3548812664907652,0.3562005277044855,0.5,0.625,1.125
qwen,overall,all,1,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,1115,238,46,27,0.5869565217391305,0.0242152466367713,0.4242152466367713,877,0.5869565217391305,0.03078677309007982,0.5393386545039909,0.0,0.0625,0.125
qwen,overall,all,2,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,131,66,0.5038167938931297,0.07534246575342465,0.526255707762557,876,0.5038167938931297,0.07534246575342465,0.526255707762557,0.125,0.1875,0.25
qwen,overall,all,3,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,212,126,0.5943396226415094,0.14383561643835616,0.5627853881278538,876,0.5943396226415094,0.14383561643835616,0.5627853881278538,0.25,0.3125,0.375
qwen,overall,all,4,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,313,179,0.5718849840255591,0.204337899543379,0.6232876712328768,876,0.5718849840255591,0.204337899543379,0.6232876712328768,0.375,0.4375,0.5
qwen,overall,all,5,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,452,281,0.6216814159292036,0.3207762557077626,0.6415525114155252,876,0.6216814159292036,0.3207762557077626,0.6415525114155252,0.5,0.625,0.6875
qwen,overall,all,6,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,877,0,542,347,0.6402214022140221,0.3956670467502851,0.6431014823261118,877,0.6402214022140221,0.3956670467502851,0.6431014823261118,0.6875,0.75,0.875
qwen,overall,all,7,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,679,472,0.695139911634757,0.5388127853881278,0.6986301369863014,876,0.695139911634757,0.5388127853881278,0.6986301369863014,0.875,0.9375,1.0625
qwen,overall,all,8,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,782,561,0.717391304347826,0.6404109589041096,0.7111872146118722,876,0.717391304347826,0.6404109589041096,0.7111872146118722,1.0625,1.1875,1.25
qwen,overall,all,9,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,849,662,0.7797408716136631,0.7557077625570776,0.7831050228310502,876,0.7797408716136631,0.7557077625570776,0.7831050228310502,1.25,1.4375,1.625
qwen,overall,all,10,rq1_model_battery_3lang_20260723,Qwen/Qwen2.5-VL-7B-Instruct,876,0,874,752,0.8604118993135011,0.8584474885844748,0.860730593607306,876,0.8604118993135011,0.8584474885844748,0.860730593607306,1.625,2.0,3.8125
