model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
internvl,language,cuda,3,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,352,0,63,38,0.6031746031746031,0.10795454545454546,0.5568181818181818,352,0.6031746031746031,0.10795454545454546,0.5568181818181818,0.3125,0.3125,0.375
internvl,language,cuda,4,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,304,0,83,40,0.4819277108433735,0.13157894736842105,0.5986842105263158,304,0.4819277108433735,0.13157894736842105,0.5986842105263158,0.4375,0.4375,0.5
internvl,language,cuda,5,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,320,0,123,76,0.6178861788617886,0.2375,0.628125,320,0.6178861788617886,0.2375,0.628125,0.5625,0.625,0.6875
internvl,language,cuda,6,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,263,0,133,83,0.6240601503759399,0.3155893536121673,0.6121673003802282,263,0.6240601503759399,0.3155893536121673,0.6121673003802282,0.75,0.8125,0.875
internvl,language,cuda,7,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,258,0,184,109,0.592391304347826,0.42248062015503873,0.627906976744186,258,0.592391304347826,0.42248062015503873,0.627906976744186,0.9375,1.0,1.125
internvl,language,cuda,8,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,241,0,210,119,0.5666666666666667,0.49377593360995853,0.5975103734439834,241,0.5666666666666667,0.49377593360995853,0.5975103734439834,1.125,1.3125,1.4375
internvl,language,cuda,9,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,211,0,200,110,0.55,0.5213270142180095,0.5734597156398105,211,0.55,0.5213270142180095,0.5734597156398105,1.5,1.6875,1.875
internvl,language,cuda,10,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,251,0,250,103,0.412,0.4103585657370518,0.41434262948207173,251,0.412,0.4103585657370518,0.41434262948207173,1.9375,2.25,3.5625
internvl,language,java,1,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,325,72,29,10,0.3448275862068966,0.03076923076923077,0.3507692307692308,253,0.3448275862068966,0.039525691699604744,0.4505928853754941,0.0,0.0625,0.125
internvl,language,java,2,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,266,0,62,30,0.4838709677419355,0.11278195488721804,0.49624060150375937,266,0.4838709677419355,0.11278195488721804,0.49624060150375937,0.1875,0.1875,0.25
internvl,language,java,3,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,232,0,81,38,0.4691358024691358,0.16379310344827586,0.4827586206896552,232,0.4691358024691358,0.16379310344827586,0.4827586206896552,0.3125,0.3125,0.375
internvl,language,java,4,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,252,0,120,53,0.44166666666666665,0.21031746031746032,0.48412698412698413,252,0.44166666666666665,0.21031746031746032,0.48412698412698413,0.4375,0.5,0.5625
internvl,language,java,5,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,288,0,187,99,0.5294117647058824,0.34375,0.5,288,0.5294117647058824,0.34375,0.5,0.5625,0.625,0.6875
internvl,language,java,6,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,288,0,211,102,0.4834123222748815,0.3541666666666667,0.5138888888888888,288,0.4834123222748815,0.3541666666666667,0.5138888888888888,0.75,0.8125,0.875
internvl,language,java,7,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,348,0,273,135,0.4945054945054945,0.3879310344827586,0.4885057471264368,348,0.4945054945054945,0.3879310344827586,0.4885057471264368,0.9375,1.0,1.125
internvl,language,java,8,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,325,0,292,136,0.4657534246575342,0.41846153846153844,0.4492307692307692,325,0.4657534246575342,0.41846153846153844,0.4492307692307692,1.1875,1.3125,1.4375
internvl,language,java,9,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,357,0,348,144,0.41379310344827586,0.40336134453781514,0.40896358543417366,357,0.41379310344827586,0.40336134453781514,0.40896358543417366,1.5,1.6875,1.9375
internvl,language,java,10,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,319,0,319,154,0.4827586206896552,0.4827586206896552,0.4827586206896552,319,0.4827586206896552,0.4827586206896552,0.4827586206896552,1.9375,2.3125,4.1875
internvl,language,python,1,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,324,75,6,4,0.6666666666666666,0.012345679012345678,0.3765432098765432,249,0.6666666666666666,0.01606425702811245,0.4899598393574297,0.0,0.0625,0.125
internvl,language,python,2,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,267,0,21,10,0.47619047619047616,0.03745318352059925,0.5093632958801498,267,0.47619047619047616,0.03745318352059925,0.5093632958801498,0.125,0.1875,0.25
internvl,language,python,3,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,293,0,34,21,0.6176470588235294,0.07167235494880546,0.6006825938566553,293,0.6176470588235294,0.07167235494880546,0.6006825938566553,0.25,0.3125,0.375
internvl,language,python,4,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,322,0,74,21,0.28378378378378377,0.06521739130434782,0.515527950310559,322,0.28378378378378377,0.06521739130434782,0.515527950310559,0.375,0.4375,0.5
internvl,language,python,5,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,269,0,76,45,0.5921052631578947,0.16728624535315986,0.5985130111524164,269,0.5921052631578947,0.16728624535315986,0.5985130111524164,0.5625,0.625,0.6875
internvl,language,python,6,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,326,0,142,66,0.4647887323943662,0.20245398773006135,0.5276073619631901,326,0.4647887323943662,0.20245398773006135,0.5276073619631901,0.6875,0.75,0.875
internvl,language,python,7,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,272,0,137,73,0.5328467153284672,0.26838235294117646,0.5551470588235294,272,0.5328467153284672,0.26838235294117646,0.5551470588235294,0.875,0.9375,1.0625
internvl,language,python,8,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,311,0,231,126,0.5454545454545454,0.40514469453376206,0.5530546623794212,311,0.5454545454545454,0.40514469453376206,0.5530546623794212,1.125,1.25,1.4375
internvl,language,python,9,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,309,0,272,139,0.5110294117647058,0.44983818770226536,0.49838187702265374,309,0.5110294117647058,0.44983818770226536,0.49838187702265374,1.4375,1.625,1.875
internvl,language,python,10,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,307,0,301,117,0.38870431893687707,0.3811074918566775,0.38762214983713356,307,0.38870431893687707,0.3811074918566775,0.38762214983713356,1.9375,2.25,3.6875
ministral,overall,all,1,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,932,35,33,20,0.6060606060606061,0.02145922746781116,0.453862660944206,897,0.6060606060606061,0.022296544035674472,0.47157190635451507,0.0,0.3125,0.5625
ministral,overall,all,2,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,124,58,0.46774193548387094,0.06473214285714286,0.5401785714285714,896,0.46774193548387094,0.06473214285714286,0.5401785714285714,0.5625,0.875,1.1875
ministral,overall,all,3,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,265,130,0.49056603773584906,0.14492753623188406,0.5317725752508361,897,0.49056603773584906,0.14492753623188406,0.5317725752508361,1.1875,1.5,1.8125
ministral,overall,all,4,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,466,248,0.5321888412017167,0.2767857142857143,0.5435267857142857,896,0.5321888412017167,0.2767857142857143,0.5435267857142857,1.8125,2.125,2.5
ministral,overall,all,5,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,678,345,0.5088495575221239,0.38461538461538464,0.5384615384615384,897,0.5088495575221239,0.38461538461538464,0.5384615384615384,2.5,2.875,3.25
ministral,overall,all,6,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,854,469,0.5491803278688525,0.5234375,0.5524553571428571,896,0.5491803278688525,0.5234375,0.5524553571428571,3.25,3.625,4.0
ministral,overall,all,7,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,895,476,0.5318435754189944,0.5306577480490524,0.5317725752508361,897,0.5318435754189944,0.5306577480490524,0.5317725752508361,4.0,4.375,4.75
