replicate,easy_swap,hard_swap,easy_minus_hard,weighted_linear_slope_per_abs_z
80,0.3875497017892644,0.393048128342246,-0.005498426552981606,-0.018186298109947503
81,0.37969367588932806,0.4219904963041183,-0.042296820414790215,-0.028271866520209275
82,0.4178191489361702,0.4310773480662983,-0.013258199130128101,-0.01600302098627998
83,0.4025186567164179,0.4006831983805668,0.0018354583358510812,-0.013898947479338359
84,0.406720741599073,0.41010733452593917,-0.003386592926866161,-0.011724527474316595
85,0.3747379454926625,0.4178537511870845,-0.04311580569442203,-0.033354896232926166
86,0.39840587044534415,0.4132968601332065,-0.014890989687862344,-0.007416380866884572
87,0.3608374384236453,0.38732847341337906,-0.026491034989733764,-0.02325539684965783
88,0.36035925196850394,0.4114880273660205,-0.05112877539751659,-0.03535923080056079
89,0.36414141414141415,0.40802113352545627,-0.043879719384042115,-0.03609115440920752
90,0.40100762527233114,0.4107312440645774,-0.009723618792246258,-0.014868687505733703
91,0.391125,0.41943405051449956,-0.028309050514499556,-0.022609006497172835
92,0.38875272331154687,0.38545627376425856,0.003296449547288305,-0.00869364731898368
93,0.3694416996047431,0.40805400372439476,-0.038612304119651664,-0.02852383640893571
94,0.3925438596491228,0.416453428863869,-0.023909569214746185,-0.02178774117028963
95,0.3838008800880088,0.41212632594021215,-0.028325445852203368,-0.04570738606550034
96,0.38951359832635984,0.39451022604951563,-0.004996627723155789,-0.0035849004218198696
97,0.40458015267175573,0.3888888888888889,0.015691263782866838,-0.002581482308505978
98,0.39146620847651775,0.4151876267748479,-0.023721418298330132,-0.016195609608652572
99,0.4199623352165725,0.39719730941704035,0.022765025799532157,0.00902850009584653
100,0.4110783261802575,0.40778487229862476,0.0032934538816327685,-0.016437267735060674
101,0.41629793510324486,0.4239936440677966,-0.00769570896455174,-0.016396795588897936
102,0.4355387029288703,0.415234375,0.020304327928870325,0.0030313469753428827
103,0.3951292246520875,0.4421225937183384,-0.0469933690662509,-0.038123503971220295
104,0.3953694331983806,0.3961157455683003,-0.0007463123699197327,-0.006231517729974622
105,0.411963036963037,0.42614200595829194,-0.014178968995254948,-0.013934341360961307
106,0.41331658291457285,0.4078282828282828,0.005488300086290032,-4.8328412667126865e-05
107,0.4035947712418301,0.42701342281879195,-0.02341865157696188,-0.01977358941082787
108,0.4109573502722323,0.42517103762827824,-0.014213687356045945,-0.016095573488640845
109,0.39052053486150906,0.40338427947598254,-0.012863744614473482,-0.01652777683771667
110,0.4116485686080948,0.402,0.009648568608094765,-0.0014444948364629418
111,0.39344262295081966,0.41437308868501527,-0.020930465734195602,-0.03294335529402482
112,0.3984234234234234,0.41729432213209733,-0.018870898708673922,-0.02362420258174605
113,0.43106949458483756,0.4163934426229508,0.01467605196188676,-0.012745274177420787
114,0.3962215320910973,0.4219506292352372,-0.0257290971441399,-0.026125880805144826
115,0.3993993993993994,0.41409412955465585,-0.014694730155256464,-0.014988172299179653
116,0.41211293260473586,0.4155405405405405,-0.003427607935804655,-0.014491426152210418
117,0.3620162932790224,0.391124871001032,-0.029108577722009588,-0.024667052607529452
118,0.3770491803278688,0.39084342963653307,-0.013794249308664241,-0.03182286967006023
119,0.399703557312253,0.39454845814977973,0.005155099162473253,-0.005764928389323291
120,0.4309210526315789,0.41452205882352944,0.01639899380804949,0.005514690963448818
121,0.4071969696969697,0.3895933014354067,0.01760366826156301,0.002853139227013457
122,0.3881283662477558,0.43431321540062434,-0.04618484915286852,-0.03419673479610712
123,0.34369136960600377,0.3795387634936212,-0.03584739388761743,-0.02695407437361472
124,0.3996268656716418,0.3985872855701312,0.0010395801015106176,-0.004078148008613873
125,0.38789292730844793,0.4129284274193548,-0.025035500110906883,-0.01783686038457246
126,0.39131825938566556,0.42097547974413646,-0.029657220358470904,-0.02718513232479828
127,0.42535246727089626,0.4237771739130435,0.0015752933578527806,-0.015719982653122317
128,0.38978240302743616,0.4145916334661355,-0.024809230438699315,-0.015744979594440392
129,0.3867690782953419,0.40602564102564104,-0.01925656273029913,-0.027440882989306012
130,0.3880424746075716,0.4013424518743668,-0.013299977266795215,-0.01649395570339325
131,0.40847983453981385,0.40106815869786366,0.007411675841950183,-0.009265171922392188
132,0.39717936354869815,0.4049408014571949,-0.00776143790849676,-0.00787230588515132
133,0.3911931818181818,0.41292270531400965,-0.02172952349582785,-0.019393695092297207
134,0.3944587628865979,0.38455497382198955,0.00990378906460837,-0.00034990279153783004
135,0.41798523206751054,0.3935940499040307,0.024391182163479852,0.0053383238820879746
136,0.4241260593220339,0.40054563492063494,0.02358042440139896,0.0065410311557126954
137,0.4100302419354839,0.43804229934924077,-0.028012057413756897,-0.025889288547772286
138,0.3716182364729459,0.4066937119675456,-0.03507547549459972,-0.02190230258793704
139,0.37696214219759927,0.4068446088794926,-0.029882466681893316,-0.02803260181521097
140,0.36898194583751254,0.4115284974093264,-0.04254655157181386,-0.03327861866745305
141,0.38623188405797104,0.4048309178743961,-0.01859903381642508,-0.017552748230709757
142,0.41512036108324973,0.3931023720349563,0.02201798904829344,-0.007417580106594809
143,0.40584252758274825,0.404296875,0.001545652582748247,-0.006990020706395853
144,0.4003712871287129,0.4265069169960474,-0.02613562986733453,-0.007627563623647554
145,0.4338024809160305,0.44280785562632696,-0.009005374710296443,0.009200425540667684
146,0.4016216216216216,0.42181420233463035,-0.020192580713008723,-0.011962560742644091
147,0.36600287907869483,0.386317907444668,-0.020315028365973153,-0.02247951895976658
148,0.40297489082969434,0.40721766848816027,-0.004242777658465924,-0.013081892106811266
149,0.44328034682080925,0.4284974093264249,0.014782937494384363,0.008606157381725384
150,0.4016840607210626,0.3838141025641026,0.01786995815696002,-0.001845229789944481
151,0.38918525703200774,0.4057282003710575,-0.016542943339049765,-0.0195644607332931
152,0.43263729977116705,0.4091346153846154,0.023502684386551675,0.005294364604444171
153,0.38823529411764707,0.4082954545454546,-0.020060160427807505,-0.014772165934986398
154,0.40748315688161696,0.40484429065743943,0.0026388662241775274,-0.010918937109531972
155,0.3928191489361702,0.4264359698681733,-0.03361682093200308,-0.024584996168881865
156,0.40660919540229884,0.43209134615384615,-0.025482150751547306,-0.017624016521347444
157,0.4031982421875,0.3940972222222222,0.00910101996527779,-0.0031412397820951734
158,0.40551917680074834,0.4444164989939638,-0.038897322193215456,-0.03803331203475083
159,0.4021511017838405,0.41548370136698215,-0.013332599583141647,-0.011670011581125052
160,0.39966075156576203,0.4212311557788945,-0.021570404213132444,-0.022401778956004603
161,0.38782051282051283,0.4013097426470588,-0.01348922982654599,-0.018831205554538124
162,0.4167106652587117,0.44590780809031044,-0.029197142831598744,-0.02161575383156369
163,0.3934804928131417,0.3932119205298013,0.00026857228334037364,-0.013317004367508128
164,0.40886454183266935,0.4150099403578529,-0.006145398525183532,-0.013352314343902806
165,0.3903812824956672,0.39877988047808766,-0.00839859798242043,-0.006863018776397835
166,0.4064732142857143,0.4209893048128342,-0.014516090527119885,-0.01193322383510426
167,0.4169230769230769,0.39377626050420167,0.023146816418875227,-0.010541915786359147
168,0.3967734657039711,0.3783930510314875,0.01838041467248358,-0.0026482715103116707
169,0.3992416034669556,0.40810613437195714,-0.008864530905001555,-0.010579964584844203
170,0.3933649289099526,0.4115,-0.01813507109004736,-0.013399224729400182
171,0.37609223300970873,0.3758838383838384,0.00020839462587035618,-0.012878488690041759
172,0.3813941825476429,0.39774795268425844,-0.016353770136615542,-0.010328383415933232
173,0.39202898550724635,0.4078031809145129,-0.015774195407266545,-0.01716126286880156
174,0.3698267564966314,0.3902728351126928,-0.020446078616061403,-0.035468379041143666
175,0.4181937172774869,0.4191495124593716,-0.000955795181884711,-0.013818765425746008
176,0.41379310344827586,0.3871473354231975,0.026645768025078342,0.007432468542728137
177,0.3663490471414243,0.400531914893617,-0.0341828677521927,-0.018884438996682767
178,0.3740866388308977,0.40420560747663553,-0.03011896864573782,-0.028881800228637115
179,0.4039606227106227,0.4121656378600823,-0.008205015149459594,-0.006488733645830967
180,0.4583333333333333,0.41700819672131145,0.04132513661202186,0.01750723645631112
181,0.41524446494464945,0.4124621594349142,0.002782305509735239,-0.0023330986648322964
182,0.3923913043478261,0.427,-0.03460869565217389,-0.027422419645219336
183,0.4101880081300813,0.4278237585199611,-0.017635750389879745,-0.021015304969775092
184,0.4051219512195122,0.4022353545734841,0.002886596646028139,-0.0010352859961999068
185,0.40866268382352944,0.41054564533053517,-0.0018829615070057315,-0.016196451222317474
186,0.39395734597156395,0.4248216106014271,-0.030864264629863136,-0.030514369854278422
187,0.3986023206751055,0.4234966052376334,-0.024894284562527902,-0.01282854559722731
188,0.4057203389830508,0.4204745166959578,-0.01475417771290699,-0.019245663122882263
189,0.3819054307116105,0.4004345603271984,-0.01852912961558789,-0.015344594538497517
190,0.39723230490018147,0.4179726996966633,-0.02074039479648182,-0.026682712397925665
191,0.39304531085353,0.4175170068027211,-0.024471695949191075,-0.022602555158104446
192,0.4351851851851852,0.39708201892744477,0.038103166257740406,0.0042873456986994695
193,0.368048403707518,0.3980189732142857,-0.029970569506767686,-0.026164489945639087
194,0.3913352272727273,0.4121359223300971,-0.02080069505736981,-0.02169023114958081
195,0.3685796645702306,0.41515544041450775,-0.046575775844277134,-0.0400254582039151
196,0.3681796801505174,0.390972894482091,-0.022793214331573608,-0.012164236671282825
197,0.40125512295081966,0.4125122189638319,-0.011257096013012224,-0.02077878900104525
198,0.3858108108108108,0.39906347554630595,-0.013252664735495134,-0.02110403312185669
199,0.398769305019305,0.39525782688766115,0.003511478131643875,-0.0031182353307061053
200,0.3829129574678536,0.37425,0.00866295746785356,-0.01014517956022072
201,0.37770970782280866,0.41742549668874174,-0.03971578886593308,-0.0284939847238598
202,0.4055316091954023,0.4184574976122254,-0.012925888416823073,-0.012385873289686855
203,0.42179353493222105,0.44346116027531957,-0.021667625343098518,-0.009792964048489946
204,0.422901921132457,0.3953094777562863,0.027592443376170728,0.002598454177017079
205,0.3992195909580194,0.4033018867924528,-0.004082295834433425,-0.019930887283065607
206,0.3907766990291262,0.40170047732696895,-0.010923778297842746,-0.013083442232665115
207,0.3850646123260437,0.38762254901960785,-0.0025579366935641334,-0.020734485641356444
208,0.4275210084033613,0.4128856624319419,0.014635345971419411,0.003525315936370468
209,0.3915343915343915,0.4219219219219219,-0.030387530387530393,-0.019187109085259148
210,0.3918004012036108,0.4154334038054968,-0.023633002601886,-0.0163346313524808
211,0.4026315789473684,0.4070964247020585,-0.004464845754690083,-0.00977236106413278
212,0.4109730848861284,0.4047676669893514,0.006205417896776977,-0.00768907595414147
213,0.38193768257059396,0.4077830188679245,-0.025845336297330546,-0.018342145260835333
214,0.41217320261437906,0.41085714285714287,0.0013160597572361987,-0.009980988946172007
215,0.40492170022371365,0.3957494969818913,0.00917220324182233,-0.01857114860346664
216,0.3929514255543823,0.38726461843409316,0.005686807120289128,-0.011322709412124458
217,0.37612309074573225,0.4226357677902622,-0.04651267704452994,-0.03662294221511938
218,0.3817531779661017,0.4331129196337742,-0.05135974166767249,-0.037456585209610274
219,0.4060598377281947,0.4084685598377282,-0.0024087221095334677,-0.01364080379394355
220,0.41524767801857587,0.4274425287356322,-0.012194850717056338,-0.00795807296211977
221,0.42330786026200873,0.4248730964467005,-0.0015652361846917873,0.002923341365966555
222,0.38248337028824836,0.3999445676274945,-0.017461197339246115,-0.0038757019921201396
223,0.41262755102040816,0.38528403525954946,0.027343515760858694,0.017778061068625416
224,0.3862034239677744,0.4144736842105263,-0.02827026024275192,-0.013071837604423712
225,0.41575,0.4182330827067669,-0.0024830827067668926,-0.009651228449069472
226,0.36862119725220804,0.394730010384216,-0.02610881313200797,-0.020906060925818024
227,0.4085963003264418,0.41324013157894735,-0.004643831252505559,-0.007960895953738648
228,0.37742195909580195,0.41,-0.032578040904198025,-0.018496509770075924
229,0.4036649214659686,0.4002416756176155,0.003423245848353129,-0.013715749327356657
230,0.38752556237218816,0.4318421052631579,-0.04431654289096976,-0.05033213075863216
231,0.37917860553963706,0.4198994252873563,-0.04072081974771924,-0.030331592932445525
232,0.39688427299703266,0.4096283783783784,-0.012744105381345738,-0.006438492511989834
233,0.38116698292220114,0.40095766129032256,-0.019790678368121428,-0.023710915562225363
234,0.38868778280542987,0.4349775784753363,-0.04628979566990643,-0.031949788729176566
235,0.41919191919191917,0.41354790419161674,0.005644015000302427,-0.012975008854602016
236,0.3512476007677543,0.419917864476386,-0.06867026370863172,-0.05010086968845359
237,0.4076190476190476,0.41662537165510405,-0.009006324036056446,-0.0024260503688019078
238,0.40813106796116505,0.420021186440678,-0.011890118479512934,-0.013237092265041507
