family,model,case,difficulty,pairs,swap_errors,strict_swap_error,wilson_ci_low,wilson_ci_high,score_gap_min,score_gap_max,score_gap_mean
primary_clean_full3000,OpenGVLab/InternVL3-8B,text_plus_image,easy,1000,275,0.275,0.24822587402252644,0.30349616729597334,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,hard,1000,510,0.51,0.47903749580454597,0.5408859690257428,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,medium,1000,545,0.545,0.5140224377348876,0.5756331540014126,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,easy,1000,487,0.487,0.45612976445064124,0.5179697312699831,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,hard,1000,352,0.352,0.32301658754166684,0.3821161329700574,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,medium,1000,296,0.296,0.26853097433797923,0.32503034312412726,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,easy,1000,277,0.277,0.25015649034831283,0.3055502439362448,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,image_only,hard,1000,390,0.39,0.3602454063696288,0.4205964804971933,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,image_only,medium,1000,385,0.385,0.35533568538042837,0.4155444690712493,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,image_only,easy,1000,358,0.358,0.328881603627749,0.3882051957821486,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,hard,1000,244,0.244,0.2183928321652609,0.2715664681793434,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,medium,1000,256,0.256,0.22992018472379963,0.2839472734171513,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,easy,1000,246,0.246,0.22031215328683612,0.2736318400238259,1.0000637818086873,4.279799206357435,1.8484327165172358
openai_standard_300,gpt-5.4-mini,image_only__none_mot24,hard,100,23,0.23,0.15843265880303448,0.3215438302287378,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4-mini,image_only__none_mot24,medium,100,30,0.3,0.2189488529493276,0.3958485463334666,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4-mini,image_only__none_mot24,easy,100,18,0.18,0.1170022549894635,0.2666735838630073,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4-mini,text_plus_image__none_mot24,hard,100,43,0.43,0.33733298524110106,0.5278461045078768,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4-mini,text_plus_image__none_mot24,medium,100,46,0.46,0.36560808309024106,0.5573513967663177,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4-mini,text_plus_image__none_mot24,easy,100,45,0.45,0.3561453797951198,0.5475539700255787,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4-mini,combined_labeled_image_only__none_mot24,hard,100,31,0.31,0.22779697212376038,0.40626055719489407,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4-mini,combined_labeled_image_only__none_mot24,medium,100,19,0.19,0.12514751509768735,0.27778845379064376,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4-mini,combined_labeled_image_only__none_mot24,easy,100,25,0.25,0.17545211362287672,0.34304463548061603,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4-mini,combined_labeled_text_plus_image__none_mot24,hard,100,46,0.46,0.36560808309024106,0.5573513967663177,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4-mini,combined_labeled_text_plus_image__none_mot24,medium,100,56,0.56,0.4622810465167699,0.6532797336983921,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4-mini,combined_labeled_text_plus_image__none_mot24,easy,100,51,0.51,0.4134801193402717,0.6057800106955886,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4,image_only__none_mot24,hard,100,15,0.15,0.0930598528365663,0.23283559590832364,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4,image_only__none_mot24,medium,100,18,0.18,0.1170022549894635,0.2666735838630073,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4,image_only__none_mot24,easy,100,18,0.18,0.1170022549894635,0.2666735838630073,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4,text_plus_image__none_mot24,hard,100,26,0.26,0.18404698464748132,0.3537098944918718,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4,text_plus_image__none_mot24,medium,100,24,0.24,0.16691325556948772,0.33232336349814473,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4,text_plus_image__none_mot24,easy,100,30,0.3,0.2189488529493276,0.3958485463334666,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4,combined_labeled_image_only__none_mot24,hard,100,12,0.12,0.06999406437019488,0.19812099426711421,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4,combined_labeled_image_only__none_mot24,medium,100,13,0.13,0.07757167427240512,0.20980351440076428,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4,combined_labeled_image_only__none_mot24,easy,100,16,0.16,0.10095288488804782,0.24420269389270244,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.4,combined_labeled_text_plus_image__none_mot24,hard,100,25,0.25,0.17545211362287672,0.34304463548061603,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.4,combined_labeled_text_plus_image__none_mot24,medium,100,20,0.2,0.1333669333310325,0.2888291655931589,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.4,combined_labeled_text_plus_image__none_mot24,easy,100,21,0.21,0.141656540619153,0.29979968834089865,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.5,image_only__low_mot256,hard,100,22,0.22,0.150012823846054,0.31070353514985793,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.5,image_only__low_mot256,medium,100,16,0.16,0.10095288488804782,0.24420269389270244,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.5,image_only__low_mot256,easy,100,18,0.18,0.1170022549894635,0.2666735838630073,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.5,text_plus_image__low_mot256,hard,100,27,0.27,0.1926958414957634,0.36432116767944994,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.5,text_plus_image__low_mot256,medium,100,25,0.25,0.17545211362287672,0.34304463548061603,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.5,text_plus_image__low_mot256,easy,100,24,0.24,0.16691325556948772,0.33232336349814473,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.5,combined_labeled_image_only__low_mot256,hard,100,22,0.22,0.150012823846054,0.31070353514985793,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.5,combined_labeled_image_only__low_mot256,medium,100,20,0.2,0.1333669333310325,0.2888291655931589,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.5,combined_labeled_image_only__low_mot256,easy,100,27,0.27,0.1926958414957634,0.36432116767944994,1.0007864513855749,4.139530253932445,1.90816781347345
openai_standard_300,gpt-5.5,combined_labeled_text_plus_image__low_mot256,hard,100,20,0.2,0.1333669333310325,0.2888291655931589,0.2106918845022272,0.4964927232053059,0.3713479711640986
openai_standard_300,gpt-5.5,combined_labeled_text_plus_image__low_mot256,medium,100,25,0.25,0.17545211362287672,0.34304463548061603,0.5003932256927879,0.9819774085213948,0.7389817553942639
openai_standard_300,gpt-5.5,combined_labeled_text_plus_image__low_mot256,easy,100,17,0.17,0.10893566114059931,0.25548004767601123,1.0007864513855749,4.139530253932445,1.90816781347345
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot256,hard,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.2238601272836157,0.4919119272279506,0.380300115747285
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot256,medium,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.500626844954087,0.9819774085213948,0.7347309241555882
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot256,easy,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,1.0075353107787306,4.139530253932445,1.7731157245891107
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot256,hard,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.2238601272836157,0.4919119272279506,0.380300115747285
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot256,medium,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.500626844954087,0.9819774085213948,0.7347309241555882
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot256,easy,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,1.0075353107787306,4.139530253932445,1.7731157245891107
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot4096,hard,100,12,0.12,0.06999406437019488,0.19812099426711421,0.2106918845022272,0.4964927232053059,0.3713479711640986
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot4096,medium,100,7,0.07,0.03431926106727268,0.137495147390735,0.5003932256927879,0.9819774085213948,0.7389817553942639
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot4096,easy,100,15,0.15,0.0930598528365663,0.23283559590832364,1.0007864513855749,4.139530253932445,1.90816781347345
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot4096,hard,100,31,0.31,0.22779697212376038,0.40626055719489407,0.2106918845022272,0.4964927232053059,0.3713479711640986
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot4096,medium,100,27,0.27,0.1926958414957634,0.36432116767944994,0.5003932256927879,0.9819774085213948,0.7389817553942639
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot4096,easy,100,29,0.29,0.2101483574912227,0.3853889117557111,1.0007864513855749,4.139530253932445,1.90816781347345
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot256,hard,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.2238601272836157,0.4919119272279506,0.380300115747285
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot256,medium,30,4,0.13333333333333333,0.053096554840547455,0.296813266820363,0.500626844954087,0.9819774085213948,0.7347309241555882
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot256,easy,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,1.0075353107787306,4.139530253932445,1.7731157245891107
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot256,hard,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.2238601272836157,0.4919119272279506,0.380300115747285
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot256,medium,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.500626844954087,0.9819774085213948,0.7347309241555882
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot256,easy,30,7,0.23333333333333334,0.11792388144489496,0.40928326158122164,1.0075353107787306,4.139530253932445,1.7731157245891107
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot4096,hard,100,17,0.17,0.10893566114059931,0.25548004767601123,0.2106918845022272,0.4964927232053059,0.3713479711640986
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot4096,medium,100,10,0.1,0.0552291370606751,0.17436566150491345,0.5003932256927879,0.9819774085213948,0.7389817553942639
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot4096,easy,100,17,0.17,0.10893566114059931,0.25548004767601123,1.0007864513855749,4.139530253932445,1.90816781347345
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot4096,hard,100,24,0.24,0.16691325556948772,0.33232336349814473,0.2106918845022272,0.4964927232053059,0.3713479711640986
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot4096,medium,100,30,0.3,0.2189488529493276,0.3958485463334666,0.5003932256927879,0.9819774085213948,0.7389817553942639
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot4096,easy,100,27,0.27,0.1926958414957634,0.36432116767944994,1.0007864513855749,4.139530253932445,1.90816781347345
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt256,hard,100,63,0.63,0.5322052958094291,0.7181763946567546,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt256,medium,100,63,0.63,0.5322052958094291,0.7181763946567546,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt256,easy,100,50,0.5,0.4038315303659956,0.5961684696340044,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt64,hard,100,63,0.63,0.5322052958094291,0.7181763946567546,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt64,medium,100,63,0.63,0.5322052958094291,0.7181763946567546,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt64,easy,100,50,0.5,0.4038315303659956,0.5961684696340044,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt256,hard,100,33,0.33,0.24563122734128034,0.4269465620490947,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt256,medium,100,32,0.32,0.23669147324999093,0.41662618610452384,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt256,easy,100,31,0.31,0.22779697212376038,0.40626055719489407,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt64,hard,100,33,0.33,0.24563122734128034,0.4269465620490947,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt64,medium,100,32,0.32,0.23669147324999093,0.41662618610452384,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt64,easy,100,31,0.31,0.22779697212376038,0.40626055719489407,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt256,hard,100,53,0.53,0.4328885697009936,0.6248918204065872,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt256,medium,100,58,0.58,0.4820648670304296,0.6720161732564526,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt256,easy,100,54,0.54,0.44264860323368227,0.6343919169097589,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt64,hard,100,53,0.53,0.4328885697009936,0.6248918204065872,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt64,medium,100,58,0.58,0.4820648670304296,0.6720161732564526,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt64,easy,100,54,0.54,0.44264860323368227,0.6343919169097589,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt256,hard,100,36,0.36,0.2727122040140433,0.4576459754839126,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt256,medium,100,29,0.29,0.2101483574912227,0.3853889117557111,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt256,easy,100,22,0.22,0.150012823846054,0.31070353514985793,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt64,hard,100,36,0.36,0.2727122040140433,0.4576459754839126,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt64,medium,100,29,0.29,0.2101483574912227,0.3853889117557111,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt64,easy,100,22,0.22,0.150012823846054,0.31070353514985793,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt256,hard,100,60,0.6,0.5020025867910618,0.6905987135675411,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt256,medium,100,52,0.52,0.4231657776522397,0.615354482419481,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt256,easy,100,39,0.39,0.3001687400639441,0.4879698295415926,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt64,hard,100,60,0.6,0.5020025867910618,0.6905987135675411,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt64,medium,100,52,0.52,0.4231657776522397,0.615354482419481,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt64,easy,100,39,0.39,0.3001687400639441,0.4879698295415926,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt256,hard,100,38,0.38,0.29097599252478734,0.47790244704488916,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt256,medium,100,30,0.3,0.2189488529493276,0.3958485463334666,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt256,easy,100,18,0.18,0.1170022549894635,0.2666735838630073,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt64,hard,100,38,0.38,0.29097599252478734,0.47790244704488916,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt64,medium,100,30,0.3,0.2189488529493276,0.3958485463334666,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt64,easy,100,18,0.18,0.1170022549894635,0.2666735838630073,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt256,hard,100,41,0.41,0.3186731302113651,0.5079856994658921,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt256,medium,100,34,0.34,0.25461520797348164,0.43722271145275377,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt256,easy,100,31,0.31,0.22779697212376038,0.40626055719489407,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt64,hard,100,41,0.41,0.3186731302113651,0.5079856994658921,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt64,medium,100,34,0.34,0.25461520797348164,0.43722271145275377,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt64,easy,100,31,0.31,0.22779697212376038,0.40626055719489407,1.0089247362039495,3.7839876988349377,1.8527002978344467
